	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
147	7.934295	1.4318867	2415.9666	0.37968963	15.340184	4279.892	0.23767146	14.137929	1.1940163	0.14496368
148	7.93592	1.4344437	2391.167	0.38127822	15.36476	4241.058	0.23868077	14.13055	1.192407	0.14493003
149	7.9533296	1.4305207	2377.8635	0.38118273	15.1416445	4224.284	0.23671176	13.980529	1.1911241	0.1434873
150	7.939016	1.4138823	2344.9824	0.3807767	15.044283	4230.978	0.23521297	13.856224	1.1751611	0.14391907
151	7.889222	1.4277201	2315.1096	0.37937135	15.065458	4204.4272	0.23447046	13.875797	1.1751817	0.14287882
152	7.840317	1.4170719	2305.9785	0.3813759	15.116863	4211.709	0.23852879	13.829289	1.1613132	0.14031129
153	7.931189	1.388829	2297.865	0.37866658	14.857941	4230.2954	0.2364154	13.796739	1.1649514	0.13974527
154	7.8360534	1.4083565	2268.7769	0.38199475	14.794086	4163.8247	0.23674905	13.80052	1.15313	0.14192532
155	7.883265	1.3874495	2252.6702	0.38084105	14.902312	4215.647	0.23595573	13.792412	1.1499158	0.13918513
156	7.8997765	1.3982817	2254.4697	0.37765753	14.740768	4199.709	0.23553467	13.592049	1.141528	0.1382315
157	7.8531275	1.3934015	2227.09	0.38092205	14.813005	4183.6187	0.23344135	13.4936905	1.1449902	0.13963258
158	7.7974267	1.3872474	2210.0361	0.3787045	14.623923	4112.0264	0.2332132	13.488744	1.126124	0.13981123
159	7.8614697	1.3795829	2144.5657	0.3794106	14.5974	4145.176	0.23159099	13.340218	1.1325802	0.13760225
160	7.8029346	1.3757076	2154.2634	0.37813172	14.505688	4161.0347	0.23268753	13.350201	1.1054428	0.13600968
161	7.747172	1.3775334	2150.2646	0.38072944	14.399	4134.565	0.23252116	13.360013	1.101117	0.13663045
162	7.735547	1.3777465	2167.4546	0.38007605	14.194358	4161.417	0.2331512	13.167739	1.1015885	0.1364417
163	7.777895	1.3673985	2127.9631	0.3787849	14.481419	4123.3374	0.23294577	13.184146	1.1055844	0.13415189
164	7.7877727	1.374488	2131.8516	0.37761417	14.248635	4128.531	0.22919104	13.263004	1.0921185	0.1341532
165	7.774839	1.351432	2107.6416	0.37950662	14.262617	4063.5542	0.23081028	12.94572	1.0751879	0.1350527
166	7.766318	1.3499925	2091.9968	0.37749222	14.305171	4093.649	0.23074423	13.103186	1.0794888	0.13448012
167	7.7649975	1.3418118	2053.246	0.3756481	14.139049	4109.952	0.22914785	13.082626	1.0628331	0.13108067
168	7.712296	1.3305194	2030.2213	0.3766774	14.071666	4041.6523	0.22988541	12.937033	1.0693918	0.13334109
169	7.77155	1.346937	2043.3091	0.37700868	14.022534	4084.128	0.2300091	12.840795	1.0624217	0.13181214
170	7.7434025	1.3358444	2049.6743	0.37720472	13.934549	4033.6062	0.22782065	12.953305	1.0575236	0.13233577
171	7.7804875	1.3330584	2019.647	0.37917724	13.957833	4095.3237	0.23053132	12.891221	1.0368528	0.13065006
172	7.7180495	1.3291521	1985.4979	0.37736025	13.84187	4029.5742	0.23022889	12.639713	1.0371282	0.12901801
173	7.6842747	1.3359224	1969.2521	0.3787711	13.63628	4053.2341	0.22739168	12.696639	1.042565	0.13068843
174	7.6945906	1.307756	1964.6866	0.375917	13.54245	4025.9714	0.22734836	12.559975	1.0344577	0.128013
175	7.6456747	1.3130478	1940.985	0.3773734	13.632503	4052.7334	0.22686045	12.607563	1.0376527	0.12878627
176	7.736138	1.3049186	1926.2496	0.37681603	13.649366	3993.18	0.22558643	12.657655	1.0180124	0.12767795
177	7.636869	1.3048888	1929.7003	0.37651044	13.568547	4012.1592	0.2253734	12.295992	1.0061574	0.1276892
178	7.6901293	1.3076397	1913.3777	0.37741336	13.534876	3975.405	0.22536771	12.465694	1.0200778	0.12742911
179	7.682222	1.3080333	1874.067	0.3767022	13.38068	3995.1597	0.22707549	12.454745	1.0069706	0.12701674
180	7.622988	1.3014426	1879.5536	0.37777483	13.487367	4004.046	0.2253275	12.299969	0.99897224	0.12558189
181	7.632807	1.303862	1868.2606	0.3756933	13.535199	3995.7012	0.22422609	12.277832	0.9889581	0.12556374
182	7.633619	1.2887946	1847.8833	0.3767562	13.314958	3985.897	0.2228486	12.365601	0.99783623	0.1249704
183	7.6482053	1.2809407	1830.468	0.37671497	13.267307	3970.8848	0.22363587	12.263943	0.9837906	0.124387585
184	7.6545205	1.2883327	1819.5857	0.37677965	13.235672	3969.1182	0.22214963	12.020709	0.9870364	0.12424564
185	7.551952	1.2827771	1782.3475	0.37758124	13.10093	3981.2153	0.22421585	12.041871	0.968331	0.123706594
186	7.6118546	1.2815616	1791.2463	0.37412673	13.160588	3950.7385	0.22343765	12.047847	0.9724517	0.12231626
187	7.5795884	1.2737937	1755.9744	0.3768274	13.067299	3940.5928	0.22152543	11.9774065	0.9625442	0.12188349
188	7.5778775	1.27722	1756.4147	0.37722966	13.094469	3912.0054	0.22288397	11.914568	0.95749664	0.12172085
189	7.5358543	1.2597636	1739.2146	0.37422165	12.996094	3948.1726	0.22211587	11.841351	0.9550826	0.121013604
190	7.484046	1.2644312	1732.0126	0.37648782	12.857107	3912.0337	0.22156826	11.870895	0.9468518	0.12068227
191	7.5600643	1.2545838	1717.9464	0.37572223	12.874299	3928.1426	0.22127652	11.71424	0.93864596	0.12029186
192	7.5735435	1.2670356	1699.2211	0.37301394	12.682397	3914.8438	0.22164102	11.727858	0.93728876	0.121209346
193	7.5818195	1.2581905	1710.8601	0.37612006	12.788198	3905.447	0.22019534	11.668742	0.9255267	0.11994795
194	7.4913573	1.2547036	1660.0255	0.37417972	12.621197	3912.0269	0.22048102	11.650129	0.9121603	0.11909347
195	7.543683	1.2397149	1686.4452	0.37567672	12.872647	3897.2336	0.222045	11.666141	0.9149051	0.1186998
196	7.5693684	1.2469691	1636.8063	0.37437966	12.641312	3869.9067	0.21860261	11.535694	0.90652925	0.11801108
197	7.513297	1.2363529	1637.7178	0.37655383	12.537399	3891.5615	0.2202599	11.542861	0.9022681	0.11761261
198	7.5356574	1.2443568	1626.1406	0.37370247	12.5644865	3892.592	0.22026385	11.4990835	0.9089357	0.117230766
199	7.533021	1.2226584	1611.753	0.37658477	12.395314	3883.7544	0.2183821	11.371712	0.8964835	0.11623175
200	7.51799	1.2324706	1578.901	0.37420455	12.424938	3836.3328	0.218721	11.266407	0.89810497	0.11613406
201	7.549808	1.2280731	1578.996	0.37409306	12.59874	3858.5676	0.21924677	11.459422	0.88723785	0.116509266
202	7.4956684	1.2171712	1569.1425	0.37286636	12.402494	3890.7932	0.22090428	11.119709	0.88081217	0.116602264
203	7.505954	1.2260207	1545.7341	0.3739566	12.362678	3850.4792	0.21748993	11.220668	0.88447434	0.11537157
204	7.4143677	1.2119116	1514.6355	0.37333566	12.292083	3824.125	0.21760808	11.247292	0.8740246	0.11353375
205	7.488341	1.2232717	1527.0936	0.3734204	12.288495	3797.0962	0.21955352	11.184222	0.8723591	0.11492877
206	7.462787	1.2094979	1502.2244	0.37484044	12.26696	3822.5469	0.21887508	11.197139	0.85615027	0.11412914
207	7.4858947	1.216936	1500.3217	0.37667945	12.169669	3830.633	0.21781483	11.145739	0.8548063	0.11287427
208	7.4778676	1.1935633	1474.5548	0.3714011	12.059241	3808.2964	0.21666904	11.065929	0.8583761	0.11346071
209	7.42415	1.2084737	1479.6837	0.37419423	12.227694	3787.8286	0.21726003	10.991851	0.8512783	0.112598106
210	7.455234	1.2057528	1471.6093	0.3730935	12.228001	3806.6968	0.21693051	10.874661	0.8569285	0.11187997
211	7.4651213	1.2003256	1451.9525	0.37249652	12.007082	3786.236	0.21660092	10.969618	0.84558284	0.11192279
212	7.3721147	1.1818899	1433.1202	0.37632313	11.958341	3817.0432	0.21628772	10.851583	0.8415098	0.11104846
213	7.4439654	1.2006332	1430.741	0.37426147	11.932578	3840.4148	0.2155458	10.860682	0.83213216	0.110600635
214	7.4340878	1.1924362	1414.1064	0.37599504	11.831769	3799.809	0.21599962	10.842723	0.8246463	0.11057635
215	7.4084377	1.185968	1410.0665	0.37168026	11.736349	3816.5618	0.21446778	10.718113	0.8238557	0.10929417
216	7.439706	1.1842688	1383.7787	0.3731253	11.866994	3757.4292	0.21413685	10.775199	0.8162165	0.10992471
217	7.435294	1.1833183	1366.2554	0.37166342	11.878669	3787.1885	0.21348418	10.803835	0.8217823	0.10910609
218	7.401154	1.1795841	1363.5848	0.37431297	11.716421	3789.41	0.21570334	10.689322	0.8081458	0.10906296
219	7.428837	1.1820725	1340.8221	0.37376285	11.709749	3825.6685	0.21457091	10.675494	0.80443823	0.109582946
220	7.3893533	1.1791153	1317.4889	0.3744433	11.59156	3760.0127	0.21403024	10.665927	0.8025679	0.108519204
221	7.4103575	1.1816115	1312.6721	0.37266067	11.557291	3743.0867	0.21407497	10.494223	0.79205114	0.10815538
222	7.374563	1.1719179	1324.539	0.37588298	11.622253	3755.7688	0.21200565	10.469732	0.79964393	0.10802895
223	7.377765	1.1695569	1299.0751	0.37335256	11.514836	3743.884	0.21250145	10.541731	0.7903647	0.10632457
224	7.3779545	1.1721132	1285.5338	0.37208757	11.59997	3765.789	0.21266149	10.467836	0.78830814	0.10691338
225	7.3189135	1.1667169	1269.3135	0.37129763	11.382504	3748.655	0.21200752	10.369196	0.7830118	0.10652866
226	7.3509507	1.1666547	1251.4694	0.37350523	11.521736	3716.5042	0.21189068	10.302076	0.77804303	0.10646538
227	7.3790007	1.1484619	1236.8704	0.37075487	11.467275	3735.106	0.21174882	10.450605	0.7685647	0.10425947
228	7.389633	1.1514546	1231.416	0.37190267	11.435655	3710.952	0.20952311	10.35997	0.77149737	0.10591687
229	7.3359694	1.1573999	1238.3403	0.3743732	11.333902	3769.4238	0.21111375	10.361636	0.77403307	0.10548689
230	7.3881273	1.1489428	1214.5684	0.37465605	11.247769	3714.544	0.20902751	10.236904	0.7625885	0.10388815
231	7.374238	1.1369815	1198.8257	0.37210885	11.356169	3705.8835	0.21139725	10.2370615	0.76227474	0.10475142
